time_of_day,brightness,light_color_temp,room_temp,sound_level,music_genre,movement,mood
Morning,21,5733,22.1,75,Jazz,High,Energetic
Afternoon,41,2002,16.1,59,None,High,Stressed
Afternoon,3,3509,21.7,22,Pop,High,Stressed
Evening,73,5699,18.3,28,Pop,Low,Neutral
Morning,20,4331,24.7,71,None,Medium,Stressed
Evening,67,5396,21.7,52,Pop,Low,Neutral
Night,64,2180,19.5,22,Jazz,Medium,Neutral
Afternoon,67,3736,27.8,28,Rock,Low,Neutral
Morning,21,5207,16.8,60,Pop,Medium,Neutral
Afternoon,15,3004,18.3,33,Rock,Medium,Neutral
Afternoon,29,3035,21.5,50,Rock,High,Stressed
Night,17,5451,28.4,49,Classical,High,Stressed
Afternoon,84,3647,16.7,61,Rock,Medium,Neutral
Morning,94,4360,27.1,39,Classical,High,Stressed
Afternoon,76,3476,25.8,40,Pop,Low,Neutral
Night,29,5024,22.4,74,Pop,Medium,Stressed
Evening,74,5144,24.5,61,Jazz,Medium,Neutral
Night,23,4239,23.5,40,Rock,High,Stressed
Evening,13,4920,25.3,52,Rock,Medium,Neutral
Morning,52,3253,29.8,42,Classical,Low,Relaxed
Afternoon,17,4810,28.0,26,Classical,High,Stressed
Evening,98,2573,29.1,79,Pop,Low,Stressed
Night,90,6157,27.8,48,Pop,Low,Neutral
Morning,58,3103,25.1,34,None,High,Stressed
Evening,37,4235,17.9,23,Jazz,Medium,Neutral
Evening,8,3177,15.1,57,Jazz,Medium,Neutral
Morning,36,2102,28.7,80,Pop,High,Energetic
Evening,82,5733,23.7,23,Classical,High,Stressed
Afternoon,45,2679,21.3,32,None,Medium,Neutral
Afternoon,4,4068,25.7,38,Pop,Low,Neutral
Morning,61,3848,16.8,57,None,High,Stressed
Evening,14,4445,22.0,60,Classical,Low,Relaxed
Night,73,3962,19.4,65,Pop,Medium,Neutral
Evening,19,4563,24.3,65,None,High,Energetic
Morning,61,3950,24.5,22,Rock,Medium,Neutral
Night,29,5507,29.3,79,Classical,Medium,Stressed
Night,76,2652,18.7,78,Rock,Medium,Stressed
Morning,52,3390,24.5,23,None,Medium,Neutral
Evening,99,5935,16.9,20,Jazz,Medium,Neutral
Morning,15,2280,17.0,21,None,Low,Sad
Afternoon,47,4904,18.8,62,Jazz,Medium,Neutral
Evening,15,3787,28.8,51,Rock,Low,Neutral
Afternoon,34,2322,24.5,43,Pop,Medium,Neutral
Morning,68,3049,17.8,47,None,Low,Neutral
Night,31,3646,23.4,41,Pop,Low,Neutral
Night,63,2110,30.0,28,Rock,High,Stressed
Night,20,4916,19.0,28,Pop,High,Stressed
Morning,92,2517,29.9,31,Classical,High,Stressed
Night,50,3072,27.9,59,Jazz,Medium,Neutral
Afternoon,45,2528,22.8,39,None,Low,Neutral
Evening,53,4436,27.6,24,Pop,Low,Neutral
Night,59,5686,19.4,50,None,High,Stressed
Morning,86,3662,26.3,74,Pop,Medium,Stressed
Afternoon,46,2677,18.9,40,Pop,Low,Neutral
Evening,37,4149,26.6,78,Jazz,High,Energetic
Night,91,4360,18.9,26,Pop,Low,Neutral
Morning,94,6482,18.1,48,Rock,High,Stressed
Night,41,3461,28.2,79,Classical,Medium,Stressed
Afternoon,24,4404,26.5,24,Rock,Low,Neutral
Evening,24,4688,25.2,40,Jazz,Medium,Neutral
Afternoon,51,5727,25.2,44,Jazz,Medium,Neutral
Afternoon,85,3486,22.6,23,Rock,Medium,Neutral
Evening,60,6103,26.5,64,Classical,High,Energetic
Afternoon,35,6335,26.1,48,None,Low,Neutral
Morning,14,2215,21.6,65,Classical,Low,Relaxed
Night,10,3815,24.9,72,Classical,Medium,Stressed
Afternoon,82,4587,20.3,37,Classical,High,Stressed
Morning,44,6226,15.7,21,Jazz,High,Stressed
Night,59,4515,27.1,64,None,High,Energetic
Evening,49,4308,27.4,52,Rock,High,Stressed
Morning,78,2565,25.2,32,Rock,Low,Neutral
Morning,48,6299,28.2,32,None,High,Stressed
Morning,96,2284,25.5,70,Classical,Medium,Neutral
Night,94,2726,23.6,40,None,High,Stressed
Morning,81,3601,19.4,38,Rock,Medium,Neutral
Night,51,2819,20.1,48,None,Medium,Neutral
Night,73,4843,25.5,33,Jazz,Low,Relaxed
Morning,18,5965,21.0,52,Jazz,High,Stressed
Evening,43,2574,20.9,44,Jazz,Medium,Neutral
Morning,17,3724,18.6,79,Pop,Medium,Stressed
Afternoon,87,6424,19.3,21,Jazz,High,Stressed
Morning,26,4683,15.7,46,Classical,Low,Relaxed
Afternoon,70,3261,17.7,43,Rock,Low,Neutral
Night,21,4822,24.5,41,Classical,Low,Relaxed
Night,69,2296,27.2,78,Rock,Low,Stressed
Morning,67,5389,26.6,40,Classical,Medium,Neutral
Afternoon,47,3127,19.5,31,Pop,Medium,Neutral
Afternoon,9,2224,23.2,22,Classical,Low,Relaxed
Evening,64,2797,21.8,54,Classical,Medium,Neutral
Afternoon,82,3699,22.8,51,Rock,High,Stressed
Afternoon,34,2560,21.2,74,Jazz,High,Energetic
Evening,84,5303,16.3,64,None,Medium,Neutral
Evening,4,5103,20.4,70,Jazz,High,Energetic
Night,25,3125,20.7,64,Classical,Medium,Neutral
Afternoon,3,5667,16.5,39,None,Medium,Neutral
Evening,25,4181,20.4,41,None,Medium,Neutral
Morning,50,4385,26.6,48,Rock,High,Stressed
Night,70,4696,28.8,77,None,Low,Stressed
Evening,47,2560,25.5,59,Jazz,High,Stressed
Morning,94,5173,27.7,74,None,Low,Stressed
